City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Pune,UberAuto,CANCELED,2020-03-18 04:58:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5660733,73.7716067,"Atharva Apartment, S. No. 110/11/21 Off, Baner Rd, Baner, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.5660733,73.7716067,"Atharva Apartment, S. No. 110/11/21 Off, Baner Rd, Baner, Pune, Maharashtra 411045, India",0.00,12,INR
Pune,UberAuto,COMPLETED,2020-03-18 03:48:00 +0000 UTC,2020-03-18 03:55:30 +0000 UTC,18.5765167,73.773625,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-03-18 04:02:13 +0000 UTC,18.5668883,73.7694917,"Laxman Nagar, Baner, Pune, Maharashtra 411045, India",1.38,35.54,INR
Pune,UberGo,COMPLETED,2020-03-08 06:55:12 +0000 UTC,2020-03-08 07:02:54 +0000 UTC,18.576534,73.7734907,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-03-08 07:14:58 +0000 UTC,18.5457783,73.7833567,"G1/6, Shri Swami Samartha Society, Pashan - Sus Rd, Pashan, Pune, Maharashtra 411021, India",3.72,132.73,INR
Pune,UberAuto,COMPLETED,2020-03-08 04:21:25 +0000 UTC,2020-03-08 04:24:41 +0000 UTC,18.5765223,73.7734338,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-03-08 04:49:18 +0000 UTC,18.5761319,73.7735276,"2/1/36, Samarth Ln, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045, India",7.92,143.93,INR
Pune,UberGo,COMPLETED,2020-03-04 07:08:40 +0000 UTC,2020-03-04 07:33:53 +0000 UTC,18.5444072,73.7264614,"Symbiosis Lavale Rd, Lavale, Maharashtra 412115, India",2020-03-04 07:47:20 +0000 UTC,18.5442931,73.7819847,"B Wing, Sus Ln, Pashan, Pune, Maharashtra 411021, India",4.26,115.17,INR
Pune,UberAuto,CANCELED,2020-02-25 02:45:17 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2020-02-21 02:43:23 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2020-02-21 02:35:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2020-02-10 12:43:39 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberGo,COMPLETED,2020-02-10 04:57:49 +0000 UTC,2020-02-10 05:06:59 +0000 UTC,18.5412098,73.7273754,"College Entrance, Maharashtra 412115, India",2020-02-10 05:47:47 +0000 UTC,18.6613243,73.8093293,"Saideep Apartment Plot No.96, CDC, Purnanagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019, India",15.35,319.81,INR
